BaseV,BaseI,CollectorI
0.3,2.0943E-06,2.37196E-11
0.305,2.1347E-06,2.8064E-11
0.31,2.1296E-06,3.38714E-11
0.315,2.0993E-06,3.93952E-11
0.32,2.1044E-06,4.85546E-11
0.325,0.000002064,6.11481E-11
0.33,2.1094E-06,7.4206E-11
0.335,2.1498E-06,8.96737E-11
0.34,2.1448E-06,1.088222E-10
0.345,2.1397E-06,1.324718E-10
0.35,2.0993E-06,1.612369E-10
0.355,2.1397E-06,1.942712E-10
0.36,2.1094E-06,2.366612E-10
0.365,2.0691E-06,2.865784E-10
0.37,2.0892E-06,3.49924E-10
0.375,2.1145E-06,4.255938E-10
0.38,2.0034E-06,5.164116E-10
0.385,0.000002059,6.285776E-10
0.39,2.0135E-06,7.628709E-10
0.395,2.0135E-06,9.294328E-10
0.4,2.0287E-06,1.132E-09
0.405,2.0792E-06,1.3775E-09
0.41,2.0792E-06,1.6742E-09
0.42,2.0741E-06,2.475E-09
0.43,2.0741E-06,3.6635E-09
0.435,2.0943E-06,4.4598E-09
0.44,2.1246E-06,5.4021E-09
0.445,2.0993E-06,6.5748E-09
0.455,2.0993E-06,9.7258E-09
0.46,2.1397E-06,1.18206E-08
0.465,2.0337E-06,1.43849E-08
0.47,2.0236E-06,1.74931E-08
0.475,2.0236E-06,2.12797E-08
0.48,1.9933E-06,2.5863E-08
0.485,2.0489E-06,3.1477E-08
0.49,2.0489E-06,3.82565E-08
0.495,2.0135E-06,4.65738E-08
0.5,2.0287E-06,5.65269E-08
0.505,2.0438E-06,6.88166E-08
0.51,2.0438E-06,8.36421E-08
0.515,2.0085E-06,1.018085E-07
0.52,2.0438E-06,1.237242E-07
0.525,2.0943E-06,1.505814E-07
0.53,1.9984E-06,1.830771E-07
0.535,2.0135E-06,2.227773E-07
0.54,2.0539E-06,2.70769E-07
0.545,2.0236E-06,3.294998E-07
0.55,2.0034E-06,4.004322E-07
0.555,1.9681E-06,4.873728E-07
0.56,2.0236E-06,5.916844E-07
0.565,2.0438E-06,7.201056E-07
0.57,2.0489E-06,8.752105E-07
0.575,2.0135E-06,1.0651E-06
0.58,2.0943E-06,1.2938E-06
0.585,2.0034E-06,1.5743E-06
0.595,2.0186E-06,2.3276E-06
0.6,2.0438E-06,2.8318E-06
0.605,2.0892E-06,3.4394E-06
0.61,2.0186E-06,4.1832E-06
0.615,2.0388E-06,5.0762E-06
0.62,2.0792E-06,6.1745E-06
0.625,2.0337E-06,7.5003E-06
0.63,0.000002059,9.1203E-06
0.635,2.0842E-06,1.10773E-05
0.64,2.1094E-06,1.34705E-05
0.645,2.1751E-06,1.63573E-05
0.65,2.1751E-06,1.98949E-05
0.655,2.2154E-06,2.41465E-05
0.66,2.2861E-06,2.93485E-05
0.665,2.3467E-06,3.56152E-05
0.67,2.5132E-06,4.32867E-05
0.675,2.5486E-06,5.24887E-05
0.68,2.6394E-06,6.37751E-05
0.685,2.7606E-06,7.73598E-05
0.69,2.8918E-06,9.39357E-05
0.695,3.0937E-06,0.0001138626
0.7,3.3158E-06,0.000138178
0.705,3.6288E-06,0.000167369
0.71,3.9316E-06,0.0002028925
0.715,0.00000429,0.0002454855
0.72,4.7998E-06,0.00029724
0.725,5.3601E-06,0.0003591214
0.73,6.0214E-06,0.0004340731
0.735,6.7886E-06,0.0005232256
0.74,7.7932E-06,0.0006308748
0.745,8.9289E-06,0.0007586028
0.75,1.02515E-05,0.0009115785
0.755,1.19829E-05,0.0010928
